№ п.п.;Тип ЗРИ;Изготовитель (сокращенное наименование);Изготовитель код ОКПО;Вид излучения;Информация о радионуклиде в составе ЗРИ;;;;;;;;Категория потенциальной опасности ЗРИ ;;Минимальная активность;Максимальная активность;НСС, лет;Чертеж (изображение);Класс прочности ;;Размеры,мм;;;;;;;;;;Дополнительная информация;;;;;;Тип капсулы, модель
246;ГС75М12.200;"АО ""ГНЦ НИИАР""";20553876;гамма;селен-75;Se-75;захват электрона;120;сут;100;1000000;0,2;2;; - ;7,4E+12;5;приложение ГС75М (11,12,13,14,15) изображение;ИСО/99/C 63545;ГОСТ Р 52241 (ИСО 2919);20;;;;;;;;;6;Двухкапсульная герметичная конструкция. Внутренний материал капсулы-ванадий или сплав на основе титана. Внешний материал капсулы- аустенитная нержавеющая сталь.Материал активной части-Селен-75 металлический. Рабочая поверхность-боковая или дно.;источник промышленного назначения;гамма-излучение;; - ;"Каталог АО ""ГНЦ НИИАР"" (2019)"; - 
247;ГС75М13.200;"АО ""ГНЦ НИИАР""";20553876;гамма;селен-75;Se-75;захват электрона;120;сут;100;1000000;0,2;2;; - ;7,4E+12;5;приложение ГС75М (11,12,13,14,15) изображение;ИСО/99/C 63545;ГОСТ Р 52241 (ИСО 2919);20;;;;;;;;;6;Двухкапсульная герметичная конструкция. Внутренний материал капсулы-ванадий или сплав на основе титана. Внешний материал капсулы- аустенитная нержавеющая сталь.Материал активной части-Селен-75 металлический. Рабочая поверхность-боковая или дно.;источник промышленного назначения;гамма-излучение;; - ;"Каталог АО ""ГНЦ НИИАР"" (2019)"; - 
248;ГС75М14.200;"АО ""ГНЦ НИИАР""";20553876;гамма;селен-75;Se-75;захват электрона;120;сут;100;1000000;0,2;2;; - ;7,4E+12;5;приложение ГС75М (11,12,13,14,15) изображение;ИСО/99/C 63545;ГОСТ Р 52241 (ИСО 2919);27;;;;;;;;;6;Двухкапсульная герметичная конструкция. Внутренний материал капсулы-ванадий или сплав на основе титана. Внешний материал капсулы- аустенитная нержавеющая сталь.Материал активной части-Селен-75 металлический. Рабочая поверхность-боковая или дно.;источник промышленного назначения;гамма-излучение;; - ;"Каталог АО ""ГНЦ НИИАР"" (2019)"; - 
249;ГС75М15.200;"АО ""ГНЦ НИИАР""";20553876;гамма;селен-75;Se-75;захват электрона;120;сут;100;1000000;0,2;2;; - ;7,4E+12;5;приложение ГС75М (11,12,13,14,15) изображение;ИСО/99/C 63545;ГОСТ Р 52241 (ИСО 2919);19;;;;;;;;;6;Двухкапсульная герметичная конструкция. Внутренний материал капсулы-ванадий или сплав на основе титана. Внешний материал капсулы- аустенитная нержавеющая сталь.Материал активной части-Селен-75 металлический. Рабочая поверхность-боковая или дно.;источник промышленного назначения;гамма-излучение;; - ;"Каталог АО ""ГНЦ НИИАР"" (2019)"; - 
250;СР16.10;"АО ""ГНЦ НИИАР""";20553876;гамма;селен-75;Se-75;захват электрона;120;сут;100;1000000;0,2;3;; - ;3,7E+11;5;приложение СР(16,17,18) изображение;ИСО/99/C 63545;ГОСТ Р 52241 (ИСО 2919);19,5;;;;;;;;;7,15;Двухкапсульная герметичная конструкция с одним дном или двумя хвостовиками для крепления источника к транспортирующему устройству дефектоскопа. Внутренний материал капсулы-ванадий или сплав на основе титана. Внешний материал капсулы- аустенитная нержавеющая сталь. Материал активной части-Селен-75 металлический. Рабочая поверхность-боковая или дно.;источник промышленного назначения;гамма-излучение;; - ;"Каталог АО ""ГНЦ НИИАР"" (2019)"; - 
251;CP17.10;"АО ""ГНЦ НИИАР""";20553876;гамма;селен-75;Se-75;захват электрона;120;сут;100;1000000;0,2;3;; - ;3,7E+11;5;приложение СР(16,17,18) изображение;ИСО/99/C 63545;ГОСТ Р 52241 (ИСО 2919);27;;;;;;;;;6,7;Двухкапсульная герметичная конструкция с одним дном или двумя хвостовиками для крепления источника к транспортирующему устройству дефектоскопа. Внутренний материал капсулы-ванадий или сплав на основе титана. Внешний материал капсулы- аустенитная нержавеющая сталь. Материал активной части-Селен-75 металлический. Рабочая поверхность-боковая или дно.;источник промышленного назначения;гамма-излучение;; - ;"Каталог АО ""ГНЦ НИИАР"" (2019)"; - 
252;CP18.10;"АО ""ГНЦ НИИАР""";20553876;гамма;селен-75;Se-75;захват электрона;120;сут;100;1000000;0,2;3;; - ;3,7E+11;5;приложение СР(16,17,18) изображение;ИСО/99/C 63545;ГОСТ Р 52241 (ИСО 2919);23,5;;;;;;;;;7,15;Двухкапсульная герметичная конструкция с одним дном или двумя хвостовиками для крепления источника к транспортирующему устройству дефектоскопа. Внутренний материал капсулы-ванадий или сплав на основе титана. Внешний материал капсулы- аустенитная нержавеющая сталь. Материал активной части-Селен-75 металлический. Рабочая поверхность-боковая или дно.;источник промышленного назначения;гамма-излучение;; - ;"Каталог АО ""ГНЦ НИИАР"" (2019)"; - 
253;CP16.20;"АО ""ГНЦ НИИАР""";20553876;гамма;селен-75;Se-75;захват электрона;120;сут;100;1000000;0,2;3;; - ;7,4E+11;5;приложение СР(16,17,18) изображение;ИСО/99/C 63545;ГОСТ Р 52241 (ИСО 2919);19,5;;;;;;;;;7,15;Двухкапсульная герметичная конструкция с одним дном или двумя хвостовиками для крепления источника к транспортирующему устройству дефектоскопа. Внутренний материал капсулы-ванадий или сплав на основе титана. Внешний материал капсулы- аустенитная нержавеющая сталь. Материал активной части-Селен-75 металлический. Рабочая поверхность-боковая или дно.;источник промышленного назначения;гамма-излучение;; - ;"Каталог АО ""ГНЦ НИИАР"" (2019)"; - 
254;CP17.20;"АО ""ГНЦ НИИАР""";20553876;гамма;селен-75;Se-75;захват электрона;120;сут;100;1000000;0,2;3;; - ;7,4E+11;5;приложение СР(16,17,18) изображение;ИСО/99/C 63545;ГОСТ Р 52241 (ИСО 2919);27;;;;;;;;;6,7;Двухкапсульная герметичная конструкция с одним дном или двумя хвостовиками для крепления источника к транспортирующему устройству дефектоскопа. Внутренний материал капсулы-ванадий или сплав на основе титана. Внешний материал капсулы- аустенитная нержавеющая сталь. Материал активной части-Селен-75 металлический. Рабочая поверхность-боковая или дно.;источник промышленного назначения;гамма-излучение;; - ;"Каталог АО ""ГНЦ НИИАР"" (2019)"; - 
255;CP18.20;"АО ""ГНЦ НИИАР""";20553876;гамма;селен-75;Se-75;захват электрона;120;сут;100;1000000;0,2;3;; - ;7,4E+11;5;приложение СР(16,17,18) изображение;ИСО/99/C 63545;ГОСТ Р 52241 (ИСО 2919);23,5;;;;;;;;;7,15;Двухкапсульная герметичная конструкция с одним дном или двумя хвостовиками для крепления источника к транспортирующему устройству дефектоскопа. Внутренний материал капсулы-ванадий или сплав на основе титана. Внешний материал капсулы- аустенитная нержавеющая сталь. Материал активной части-Селен-75 металлический. Рабочая поверхность-боковая или дно.;источник промышленного назначения;гамма-излучение;; - ;"Каталог АО ""ГНЦ НИИАР"" (2019)"; - 
256;CP16.40;"АО ""ГНЦ НИИАР""";20553876;гамма;селен-75;Se-75;захват электрона;120;сут;100;1000000;0,2;3;; - ;1,48E+12;5;приложение СР(16,17,18) изображение;ИСО/99/C 63545;ГОСТ Р 52241 (ИСО 2919);19,5;;;;;;;;;7,15;Двухкапсульная герметичная конструкция с одним дном или двумя хвостовиками для крепления источника к транспортирующему устройству дефектоскопа. Внутренний материал капсулы-ванадий или сплав на основе титана. Внешний материал капсулы- аустенитная нержавеющая сталь. Материал активной части-Селен-75 металлический. Рабочая поверхность-боковая или дно.;источник промышленного назначения;гамма-излучение;; - ;"Каталог АО ""ГНЦ НИИАР"" (2019)"; - 
257;CP17.40;"АО ""ГНЦ НИИАР""";20553876;гамма;селен-75;Se-75;захват электрона;120;сут;100;1000000;0,2;3;; - ;1,48E+12;5;приложение СР(16,17,18) изображение;ИСО/99/C 63545;ГОСТ Р 52241 (ИСО 2919);27;;;;;;;;;6,7;Двухкапсульная герметичная конструкция с одним дном или двумя хвостовиками для крепления источника к транспортирующему устройству дефектоскопа. Внутренний материал капсулы-ванадий или сплав на основе титана. Внешний материал капсулы- аустенитная нержавеющая сталь. Материал активной части-Селен-75 металлический. Рабочая поверхность-боковая или дно.;источник промышленного назначения;гамма-излучение;; - ;"Каталог АО ""ГНЦ НИИАР"" (2019)"; - 
258;CP18.40;"АО ""ГНЦ НИИАР""";20553876;гамма;селен-75;Se-75;захват электрона;120;сут;100;1000000;0,2;3;; - ;1,48E+12;5;приложение СР(16,17,18) изображение;ИСО/99/C 63545;ГОСТ Р 52241 (ИСО 2919);23,5;;;;;;;;;7,17;Двухкапсульная герметичная конструкция с одним дном или двумя хвостовиками для крепления источника к транспортирующему устройству дефектоскопа. Внутренний материал капсулы-ванадий или сплав на основе титана. Внешний материал капсулы- аустенитная нержавеющая сталь. Материал активной части-Селен-75 металлический. Рабочая поверхность-боковая или дно.;источник промышленного назначения;гамма-излучение;; - ;"Каталог АО ""ГНЦ НИИАР"" (2019)"; - 
259;CP16.90;"АО ""ГНЦ НИИАР""";20553876;гамма;селен-75;Se-75;захват электрона;120;сут;100;1000000;0,2;2;; - ;3,33E+12;5;приложение СР(16,17,18) изображение;ИСО/99/C 63545;ГОСТ Р 52241 (ИСО 2919);19,5;;;;;;;;;7,15;Двухкапсульная герметичная конструкция с одним дном или двумя хвостовиками для крепления источника к транспортирующему устройству дефектоскопа. Внутренний материал капсулы-ванадий или сплав на основе титана. Внешний материал капсулы- аустенитная нержавеющая сталь. Материал активной части-Селен-75 металлический. Рабочая поверхность-боковая или дно.;источник промышленного назначения;гамма-излучение;; - ;"Каталог АО ""ГНЦ НИИАР"" (2019)"; - 
260;CP17.90;"АО ""ГНЦ НИИАР""";20553876;гамма;селен-75;Se-75;захват электрона;120;сут;100;1000000;0,2;2;; - ;3,33E+12;5;приложение СР(16,17,18) изображение;ИСО/99/C 63545;ГОСТ Р 52241 (ИСО 2919);27;;;;;;;;;6,7;Двухкапсульная герметичная конструкция с одним дном или двумя хвостовиками для крепления источника к транспортирующему устройству дефектоскопа. Внутренний материал капсулы-ванадий или сплав на основе титана. Внешний материал капсулы- аустенитная нержавеющая сталь. Материал активной части-Селен-75 металлический. Рабочая поверхность-боковая или дно.;источник промышленного назначения;гамма-излучение;; - ;"Каталог АО ""ГНЦ НИИАР"" (2019)"; - 
261;CP18.90;"АО ""ГНЦ НИИАР""";20553876;гамма;селен-75;Se-75;захват электрона;120;сут;100;1000000;0,2;2;; - ;3,33E+12;5;приложение СР(16,17,18) изображение;ИСО/99/C 63545;ГОСТ Р 52241 (ИСО 2919);23,5;;;;;;;;;7,15;Двухкапсульная герметичная конструкция с одним дном или двумя хвостовиками для крепления источника к транспортирующему устройству дефектоскопа. Внутренний материал капсулы-ванадий или сплав на основе титана. Внешний материал капсулы- аустенитная нержавеющая сталь. Материал активной части-Селен-75 металлический. Рабочая поверхность-боковая или дно.;источник промышленного назначения;гамма-излучение;; - ;"Каталог АО ""ГНЦ НИИАР"" (2019)"; - 
262;CP16.140;"АО ""ГНЦ НИИАР""";20553876;гамма;селен-75;Se-75;захват электрона;120;сут;100;1000000;0,2;2;; - ;5,18E+12;5;приложение СР(16,17,18) изображение;ИСО/99/C 63545;ГОСТ Р 52241 (ИСО 2919);19,5;;;;;;;;;7,15;Двухкапсульная герметичная конструкция с одним дном или двумя хвостовиками для крепления источника к транспортирующему устройству дефектоскопа. Внутренний материал капсулы-ванадий или сплав на основе титана. Внешний материал капсулы- аустенитная нержавеющая сталь. Материал активной части-Селен-75 металлический. Рабочая поверхность-боковая или дно.;источник промышленного назначения;гамма-излучение;; - ;"Каталог АО ""ГНЦ НИИАР"" (2019)"; - 
263;CP17.140;"АО ""ГНЦ НИИАР""";20553876;гамма;селен-75;Se-75;захват электрона;120;сут;100;1000000;0,2;2;; - ;5,18E+12;5;приложение СР(16,17,18) изображение;ИСО/99/C 63545;ГОСТ Р 52241 (ИСО 2919);27;;;;;;;;;6,7;Двухкапсульная герметичная конструкция с одним дном или двумя хвостовиками для крепления источника к транспортирующему устройству дефектоскопа. Внутренний материал капсулы-ванадий или сплав на основе титана. Внешний материал капсулы- аустенитная нержавеющая сталь. Материал активной части-Селен-75 металлический. Рабочая поверхность-боковая или дно.;источник промышленного назначения;гамма-излучение;; - ;"Каталог АО ""ГНЦ НИИАР"" (2019)"; - 
264;CP18.140;"АО ""ГНЦ НИИАР""";20553876;гамма;селен-75;Se-75;захват электрона;120;сут;100;1000000;0,2;2;; - ;5,18E+12;5;приложение СР(16,17,18) изображение;ИСО/99/C 63545;ГОСТ Р 52241 (ИСО 2919);23,5;;;;;;;;;7,15;Двухкапсульная герметичная конструкция с одним дном или двумя хвостовиками для крепления источника к транспортирующему устройству дефектоскопа. Внутренний материал капсулы-ванадий или сплав на основе титана. Внешний материал капсулы- аустенитная нержавеющая сталь. Материал активной части-Селен-75 металлический. Рабочая поверхность-боковая или дно.;источник промышленного назначения;гамма-излучение;; - ;"Каталог АО ""ГНЦ НИИАР"" (2019)"; - 
265;CP16.200;"АО ""ГНЦ НИИАР""";20553876;гамма;селен-75;Se-75;захват электрона;120;сут;100;1000000;0,2;2;; - ;7,4E+12;5;приложение СР(16,17,18) изображение;ИСО/99/C 63545;ГОСТ Р 52241 (ИСО 2919);19,5;;;;;;;;;7,15;Двухкапсульная герметичная конструкция с одним дном или двумя хвостовиками для крепления источника к транспортирующему устройству дефектоскопа. Внутренний материал капсулы-ванадий или сплав на основе титана. Внешний материал капсулы- аустенитная нержавеющая сталь. Материал активной части-Селен-75 металлический. Рабочая поверхность-боковая или дно.;источник промышленного назначения;гамма-излучение;; - ;"Каталог АО ""ГНЦ НИИАР"" (2019)"; - 
266;CP17.200;"АО ""ГНЦ НИИАР""";20553876;гамма;селен-75;Se-75;захват электрона;120;сут;100;1000000;0,2;2;; - ;7,4E+12;5;приложение СР(16,17,18) изображение;ИСО/99/C 63545;ГОСТ Р 52241 (ИСО 2919);27;;;;;;;;;6,7;Двухкапсульная герметичная конструкция с одним дном или двумя хвостовиками для крепления источника к транспортирующему устройству дефектоскопа. Внутренний материал капсулы-ванадий или сплав на основе титана. Внешний материал капсулы- аустенитная нержавеющая сталь. Материал активной части-Селен-75 металлический. Рабочая поверхность-боковая или дно.;источник промышленного назначения;гамма-излучение;; - ;"Каталог АО ""ГНЦ НИИАР"" (2019)"; - 
267;CP18.200;"АО ""ГНЦ НИИАР""";20553876;гамма;селен-75;Se-75;захват электрона;120;сут;100;1000000;0,2;2;; - ;7,4E+12;5;приложение СР(16,17,18) изображение;ИСО/99/C 63545;ГОСТ Р 52241 (ИСО 2919);23,5;;;;;;;;;7,15;Двухкапсульная герметичная конструкция с одним дном или двумя хвостовиками для крепления источника к транспортирующему устройству дефектоскопа. Внутренний материал капсулы-ванадий или сплав на основе титана. Внешний материал капсулы- аустенитная нержавеющая сталь. Материал активной части-Селен-75 металлический. Рабочая поверхность-боковая или дно.;источник промышленного назначения;гамма-излучение;; - ;"Каталог АО ""ГНЦ НИИАР"" (2019)"; - 
268;ГИ192М31.1;"АО ""ГНЦ НИИАР""";20553876;гамма;иридий-192;Ir-192;бета;74;сут;10;10000;0,08;4;; - ;70000000000;3;приложение ГИ192М (31,32,33,34) изображение;ИСО/99/C 65446;ГОСТ Р 52241 (ИСО 2919);12;;;;;;;;;6;Двухкапсульная герметичная конструкция без хвостовика и с хвостовиком различной конфигурации для крепления источника к транспортирующему устройству дефектоскопа. Внутренний материал капсулы-сплав на основе титана. Внешний материал капсулы- аустенитная нержавеющая сталь. Материал активной части-Иридий-192, металлические диски. Рабочая поверхность- дно.;источник промышленного назначения;гамма-излучение;; - ;"Каталог АО ""ГНЦ НИИАР"" (2019)"; - 
269;ГИ192М32.1;"АО ""ГНЦ НИИАР""";20553876;гамма;иридий-192;Ir-192;бета;74;сут;10;10000;0,08;4;; - ;70000000000;3;приложение ГИ192М (31,32,33,34) изображение;ИСО/99/C 65446;ГОСТ Р 52241 (ИСО 2919);20;;;;;;;;;6;Двухкапсульная герметичная конструкция без хвостовика и с хвостовиком различной конфигурации для крепления источника к транспортирующему устройству дефектоскопа. Внутренний материал капсулы-сплав на основе титана. Внешний материал капсулы- аустенитная нержавеющая сталь. Материал активной части-Иридий-192, металлические диски. Рабочая поверхность- дно.;источник промышленного назначения;гамма-излучение;; - ;"Каталог АО ""ГНЦ НИИАР"" (2019)"; - 
270;ГИ192М33.1;"АО ""ГНЦ НИИАР""";20553876;гамма;иридий-192;Ir-192;бета;74;сут;10;10000;0,08;4;; - ;70000000000;3;приложение ГИ192М (31,32,33,34) изображение;ИСО/99/C 65446;ГОСТ Р 52241 (ИСО 2919);20;;;;;;;;;6;Двухкапсульная герметичная конструкция без хвостовика и с хвостовиком различной конфигурации для крепления источника к транспортирующему устройству дефектоскопа. Внутренний материал капсулы-сплав на основе титана. Внешний материал капсулы- аустенитная нержавеющая сталь. Материал активной части-Иридий-192, металлические диски. Рабочая поверхность- дно.;источник промышленного назначения;гамма-излучение;; - ;"Каталог АО ""ГНЦ НИИАР"" (2019)"; - 
271;ГИ192М34.1;"АО ""ГНЦ НИИАР""";20553876;гамма;иридий-192;Ir-192;бета;74;сут;10;10000;0,08;4;; - ;70000000000;3;приложение ГИ192М (31,32,33,34) изображение;ИСО/99/C 65446;ГОСТ Р 52241 (ИСО 2919);19;;;;;;;;;6;Двухкапсульная герметичная конструкция без хвостовика и с хвостовиком различной конфигурации для крепления источника к транспортирующему устройству дефектоскопа. Внутренний материал капсулы-сплав на основе титана. Внешний материал капсулы- аустенитная нержавеющая сталь. Материал активной части-Иридий-192, металлические диски. Рабочая поверхность- дно.;источник промышленного назначения;гамма-излучение;; - ;"Каталог АО ""ГНЦ НИИАР"" (2019)"; - 
272;ГИ192М31.2;"АО ""ГНЦ НИИАР""";20553876;гамма;иридий-192;Ir-192;бета;74;сут;10;10000;0,08;3;; - ;4,8E+11;3;приложение ГИ192М (31,32,33,34) изображение;ИСО/99/C 65446;ГОСТ Р 52241 (ИСО 2919);12;;;;;;;;;6;Двухкапсульная герметичная конструкция без хвостовика и с хвостовиком различной конфигурации для крепления источника к транспортирующему устройству дефектоскопа. Внутренний материал капсулы-сплав на основе титана. Внешний материал капсулы- аустенитная нержавеющая сталь. Материал активной части-Иридий-192, металлические диски. Рабочая поверхность- дно.;источник промышленного назначения;гамма-излучение;; - ;"Каталог АО ""ГНЦ НИИАР"" (2019)"; - 
273;ГИ192М32.2;"АО ""ГНЦ НИИАР""";20553876;гамма;иридий-192;Ir-192;бета;74;сут;10;10000;0,08;3;; - ;4,8E+11;3;приложение ГИ192М (31,32,33,34) изображение;ИСО/99/C 65446;ГОСТ Р 52241 (ИСО 2919);20;;;;;;;;;6;Двухкапсульная герметичная конструкция без хвостовика и с хвостовиком различной конфигурации для крепления источника к транспортирующему устройству дефектоскопа. Внутренний материал капсулы-сплав на основе титана. Внешний материал капсулы- аустенитная нержавеющая сталь. Материал активной части-Иридий-192, металлические диски. Рабочая поверхность- дно.;источник промышленного назначения;гамма-излучение;; - ;"Каталог АО ""ГНЦ НИИАР"" (2019)"; - 
274;ГИ192М33.2;"АО ""ГНЦ НИИАР""";20553876;гамма;иридий-192;Ir-192;бета;74;сут;10;10000;0,08;3;; - ;4,8E+11;3;приложение ГИ192М (31,32,33,34) изображение;ИСО/99/C 65446;ГОСТ Р 52241 (ИСО 2919);20;;;;;;;;;6;Двухкапсульная герметичная конструкция без хвостовика и с хвостовиком различной конфигурации для крепления источника к транспортирующему устройству дефектоскопа. Внутренний материал капсулы-сплав на основе титана. Внешний материал капсулы- аустенитная нержавеющая сталь. Материал активной части-Иридий-192, металлические диски. Рабочая поверхность- дно.;источник промышленного назначения;гамма-излучение;; - ;"Каталог АО ""ГНЦ НИИАР"" (2019)"; - 
275;ГИ192М34.2;"АО ""ГНЦ НИИАР""";20553876;гамма;иридий-192;Ir-192;бета;74;сут;10;10000;0,08;3;; - ;4,8E+11;3;приложение ГИ192М (31,32,33,34) изображение;ИСО/99/C 65446;ГОСТ Р 52241 (ИСО 2919);19;;;;;;;;;6;Двухкапсульная герметичная конструкция без хвостовика и с хвостовиком различной конфигурации для крепления источника к транспортирующему устройству дефектоскопа. Внутренний материал капсулы-сплав на основе титана. Внешний материал капсулы- аустенитная нержавеющая сталь. Материал активной части-Иридий-192, металлические диски. Рабочая поверхность- дно.;источник промышленного назначения;гамма-излучение;; - ;"Каталог АО ""ГНЦ НИИАР"" (2019)"; - 
276;ГИ192М31.3;"АО ""ГНЦ НИИАР""";20553876;гамма;иридий-192;Ir-192;бета;74;сут;10;10000;0,08;2;; - ;1,5E+12;3;приложение ГИ192М (31,32,33,34) изображение;ИСО/99/C 65446;ГОСТ Р 52241 (ИСО 2919);12;;;;;;;;;6;Двухкапсульная герметичная конструкция без хвостовика и с хвостовиком различной конфигурации для крепления источника к транспортирующему устройству дефектоскопа. Внутренний материал капсулы-сплав на основе титана. Внешний материал капсулы- аустенитная нержавеющая сталь. Материал активной части-Иридий-192, металлические диски. Рабочая поверхность- дно.;источник промышленного назначения;гамма-излучение;; - ;"Каталог АО ""ГНЦ НИИАР"" (2019)"; - 
277;ГИ192М32.3;"АО ""ГНЦ НИИАР""";20553876;гамма;иридий-192;Ir-192;бета;74;сут;10;10000;0,08;2;; - ;1,5E+12;3;приложение ГИ192М (31,32,33,34) изображение;ИСО/99/C 65446;ГОСТ Р 52241 (ИСО 2919);20;;;;;;;;;6;Двухкапсульная герметичная конструкция без хвостовика и с хвостовиком различной конфигурации для крепления источника к транспортирующему устройству дефектоскопа. Внутренний материал капсулы-сплав на основе титана. Внешний материал капсулы- аустенитная нержавеющая сталь. Материал активной части-Иридий-192, металлические диски. Рабочая поверхность- дно.;источник промышленного назначения;гамма-излучение;; - ;"Каталог АО ""ГНЦ НИИАР"" (2019)"; - 
278;ГИ192М33.3;"АО ""ГНЦ НИИАР""";20553876;гамма;иридий-192;Ir-192;бета;74;сут;10;10000;0,08;2;; - ;1,5E+12;3;приложение ГИ192М (31,32,33,34) изображение;ИСО/99/C 65446;ГОСТ Р 52241 (ИСО 2919);20;;;;;;;;;6;Двухкапсульная герметичная конструкция без хвостовика и с хвостовиком различной конфигурации для крепления источника к транспортирующему устройству дефектоскопа. Внутренний материал капсулы-сплав на основе титана. Внешний материал капсулы- аустенитная нержавеющая сталь. Материал активной части-Иридий-192, металлические диски. Рабочая поверхность- дно.;источник промышленного назначения;гамма-излучение;; - ;"Каталог АО ""ГНЦ НИИАР"" (2019)"; - 
279;ГИ192М34.3;"АО ""ГНЦ НИИАР""";20553876;гамма;иридий-192;Ir-192;бета;74;сут;10;10000;0,08;2;; - ;1,5E+12;3;приложение ГИ192М (31,32,33,34) изображение;ИСО/99/C 65446;ГОСТ Р 52241 (ИСО 2919);19;;;;;;;;;6;Двухкапсульная герметичная конструкция без хвостовика и с хвостовиком различной конфигурации для крепления источника к транспортирующему устройству дефектоскопа. Внутренний материал капсулы-сплав на основе титана. Внешний материал капсулы- аустенитная нержавеющая сталь. Материал активной части-Иридий-192, металлические диски. Рабочая поверхность- дно.;источник промышленного назначения;гамма-излучение;; - ;"Каталог АО ""ГНЦ НИИАР"" (2019)"; - 
280;ГИ192М31.4;"АО ""ГНЦ НИИАР""";20553876;гамма;иридий-192;Ir-192;бета;74;сут;10;10000;0,08;2;; - ;3,15E+12;3;приложение ГИ192М (31,32,33,34) изображение;ИСО/99/C 65446;ГОСТ Р 52241 (ИСО 2919);12;;;;;;;;;6;Двухкапсульная герметичная конструкция без хвостовика и с хвостовиком различной конфигурации для крепления источника к транспортирующему устройству дефектоскопа. Внутренний материал капсулы-сплав на основе титана. Внешний материал капсулы- аустенитная нержавеющая сталь. Материал активной части-Иридий-192, металлические диски. Рабочая поверхность- дно.;источник промышленного назначения;гамма-излучение;; - ;"Каталог АО ""ГНЦ НИИАР"" (2019)"; - 
281;ГИ192М32.4;"АО ""ГНЦ НИИАР""";20553876;гамма;иридий-192;Ir-192;бета;74;сут;10;10000;0,08;2;; - ;3,15E+12;3;приложение ГИ192М (31,32,33,34) изображение;ИСО/99/C 65446;ГОСТ Р 52241 (ИСО 2919);20;;;;;;;;;6;Двухкапсульная герметичная конструкция без хвостовика и с хвостовиком различной конфигурации для крепления источника к транспортирующему устройству дефектоскопа. Внутренний материал капсулы-сплав на основе титана. Внешний материал капсулы- аустенитная нержавеющая сталь. Материал активной части-Иридий-192, металлические диски. Рабочая поверхность- дно.;источник промышленного назначения;гамма-излучение;; - ;"Каталог АО ""ГНЦ НИИАР"" (2019)"; - 
282;ГИ192М33.4;"АО ""ГНЦ НИИАР""";20553876;гамма;иридий-192;Ir-192;бета;74;сут;10;10000;0,08;2;; - ;3,15E+12;3;приложение ГИ192М (31,32,33,34) изображение;ИСО/99/C 65446;ГОСТ Р 52241 (ИСО 2919);20;;;;;;;;;6;Двухкапсульная герметичная конструкция без хвостовика и с хвостовиком различной конфигурации для крепления источника к транспортирующему устройству дефектоскопа. Внутренний материал капсулы-сплав на основе титана. Внешний материал капсулы- аустенитная нержавеющая сталь. Материал активной части-Иридий-192, металлические диски. Рабочая поверхность- дно.;источник промышленного назначения;гамма-излучение;; - ;"Каталог АО ""ГНЦ НИИАР"" (2019)"; - 
283;ГИ192М34.4;"АО ""ГНЦ НИИАР""";20553876;гамма;иридий-192;Ir-192;бета;74;сут;10;10000;0,08;2;; - ;3,15E+12;3;приложение ГИ192М (31,32,33,34) изображение;ИСО/99/C 65446;ГОСТ Р 52241 (ИСО 2919);19;;;;;;;;;6;Двухкапсульная герметичная конструкция без хвостовика и с хвостовиком различной конфигурации для крепления источника к транспортирующему устройству дефектоскопа. Внутренний материал капсулы-сплав на основе титана. Внешний материал капсулы- аустенитная нержавеющая сталь. Материал активной части-Иридий-192, металлические диски. Рабочая поверхность- дно.;источник промышленного назначения;гамма-излучение;; - ;"Каталог АО ""ГНЦ НИИАР"" (2019)"; - 
284;ГИ192М31.5;"АО ""ГНЦ НИИАР""";20553876;гамма;иридий-192;Ir-192;бета;74;сут;10;10000;0,08;2;; - ;5E+12;3;приложение ГИ192М (31,32,33,34) изображение;ИСО/99/C 65446;ГОСТ Р 52241 (ИСО 2919);12;;;;;;;;;6;Двухкапсульная герметичная конструкция без хвостовика и с хвостовиком различной конфигурации для крепления источника к транспортирующему устройству дефектоскопа. Внутренний материал капсулы-сплав на основе титана. Внешний материал капсулы- аустенитная нержавеющая сталь. Материал активной части-Иридий-192, металлические диски. Рабочая поверхность- дно.;источник промышленного назначения;гамма-излучение;; - ;"Каталог АО ""ГНЦ НИИАР"" (2019)"; - 
285;ГИ192М32.5;"АО ""ГНЦ НИИАР""";20553876;гамма;иридий-192;Ir-192;бета;74;сут;10;10000;0,08;2;; - ;5E+12;3;приложение ГИ192М (31,32,33,34) изображение;ИСО/99/C 65446;ГОСТ Р 52241 (ИСО 2919);20;;;;;;;;;6;Двухкапсульная герметичная конструкция без хвостовика и с хвостовиком различной конфигурации для крепления источника к транспортирующему устройству дефектоскопа. Внутренний материал капсулы-сплав на основе титана. Внешний материал капсулы- аустенитная нержавеющая сталь. Материал активной части-Иридий-192, металлические диски. Рабочая поверхность- дно.;источник промышленного назначения;гамма-излучение;; - ;"Каталог АО ""ГНЦ НИИАР"" (2019)"; - 
